scenario_id,scenario_json,method,seed,replicate,n_samples,p,m,h2,rho,signal_ratio,maf_type,case_control_ratio,n_features,n_causal_snps,auc,brier,accuracy,balanced_accuracy,mean_rank_causal,median_rank_causal,recall_at_20,fit_seconds,perm_seconds,status,error_msg
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,12,3,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.509422,0.254505,0.526667,0.526667,618.750000,599.500000,0.000000,0.159119,5.243962,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,12,3,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.539822,0.249185,0.533333,0.533333,612.000000,649.500000,0.000000,0.931161,9.102913,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,12,3,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.485422,0.331413,0.486667,0.486667,365.750000,362.000000,0.000000,31.322606,75.203261,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,100,3,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.446933,0.263815,0.460000,0.460000,553.000000,524.000000,0.000000,0.162605,5.429832,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,100,3,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.501156,0.254189,0.513333,0.513333,282.500000,280.500000,0.000000,0.924044,9.214552,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,100,3,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.422933,0.373474,0.426667,0.426667,500.500000,406.500000,0.000000,30.199071,75.199109,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,90,3,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.517778,0.254175,0.520000,0.520000,441.500000,311.500000,0.000000,0.161790,5.575114,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,90,3,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.529600,0.248894,0.520000,0.520000,572.000000,570.000000,0.000000,0.962753,9.133796,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,90,3,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.470311,0.355137,0.433333,0.433333,371.500000,326.000000,0.250000,30.357891,75.323928,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,42,4,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.426578,0.265501,0.460000,0.460000,650.250000,792.500000,0.000000,0.159528,5.320961,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,42,4,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.482133,0.256230,0.473333,0.473333,463.000000,444.500000,0.000000,0.922017,9.199131,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,42,4,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.493689,0.323579,0.506667,0.506667,641.500000,706.500000,0.000000,31.809571,75.438827,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,0,4,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.499733,0.254589,0.500000,0.500000,396.250000,337.500000,0.000000,0.161338,5.310805,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,0,4,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.433867,0.261799,0.453333,0.453333,533.000000,567.500000,0.000000,0.973266,9.130766,ok,
