scenario_id,scenario_json,method,seed,replicate,n_samples,p,m,h2,rho,signal_ratio,maf_type,case_control_ratio,n_features,n_causal_snps,auc,auprc,f1,balanced_acc,brier,mean_rank_causal,median_rank_causal,recall_at_20,fit_seconds,perm_seconds,status,error_msg
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,0,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.422532,0.904808,0.951049,0.500000,0.087185,601.500000,615.500000,0.000000,0.578613,22.104700,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,0,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.433824,0.898143,0.951049,0.500000,0.086073,468.700000,474.000000,0.000000,1.579570,42.647748,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_uniform,0,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.414128,0.882494,0.951049,0.500000,0.092723,436.300000,333.500000,0.000000,87.546602,369.779764,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_weighted,0,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.459821,0.900942,0.928571,0.477941,0.118966,403.500000,325.500000,0.000000,85.219090,367.627442,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,12,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.408351,0.874267,0.951049,0.500000,0.087942,604.400000,637.500000,0.000000,0.524931,21.788033,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,12,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.480305,0.908473,0.951049,0.500000,0.085400,429.700000,398.500000,0.000000,1.397030,40.412853,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_uniform,12,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.426996,0.885741,0.951049,0.500000,0.090635,538.800000,657.000000,0.100000,84.114696,366.536923,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_weighted,12,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.389706,0.871151,0.895522,0.512605,0.145462,748.700000,784.000000,0.000000,75.711665,359.502955,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,100,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.418855,0.898511,0.951049,0.500000,0.087556,487.800000,467.500000,0.100000,0.548726,21.982634,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,100,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.481092,0.915942,0.951049,0.500000,0.085605,356.200000,315.000000,0.000000,1.581323,42.897027,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_uniform,100,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.423845,0.883766,0.951049,0.500000,0.092780,466.900000,415.000000,0.000000,83.914492,364.462756,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_weighted,100,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.393645,0.867948,0.913043,0.463235,0.127182,523.700000,436.000000,0.000000,77.565604,361.461135,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,90,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.382878,0.868289,0.951049,0.500000,0.087805,455.200000,375.500000,0.100000,0.719302,22.388385,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,90,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.429622,0.889686,0.951049,0.500000,0.086390,528.900000,516.000000,0.000000,1.625974,40.770765,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_uniform,90,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.492384,0.906176,0.951049,0.500000,0.090727,479.100000,535.000000,0.000000,84.921644,360.091786,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_weighted,90,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.492122,0.908255,0.908425,0.491597,0.135196,381.200000,176.000000,0.100000,77.033287,358.967948,ok,
8529b1b10879,"{""case_control_ratio"":0.2,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,42,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.200000,1000,10,0.553280,0.832584,0.909091,0.500000,0.138859,350.300000,315.000000,0.000000,0.683112,22.696892,ok,
8529b1b10879,"{""case_control_ratio"":0.2,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,42,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.200000,1000,10,0.457920,0.820805,0.909091,0.500000,0.140368,395.300000,390.000000,0.100000,1.813806,42.229275,ok,
